Freq.	V(vo)
Step Information: R_e=220  (Run: 1/2)
2.52138375853039e+006	(2.65137401366184e-001dB,1.78800233849250e+002°)
2.70235220126289e+006	(2.64900914294513e-001dB,1.78709816094103e+002°)
2.89630937574010e+006	(2.64629233810495e-001dB,1.78613203398698e+002°)
3.10418752821329e+006	(2.64317137345863e-001dB,1.78509932846868e+002°)
3.32698581547514e+006	(2.63958626599252e-001dB,1.78399509856171e+002°)
3.56577510726092e+006	(2.63546812787295e-001dB,1.78281405877852e+002°)
3.82170313333476e+006	(2.63073784981929e-001dB,1.78155055951316e+002°)
4.09600000000000e+006	(2.62530459071837e-001dB,1.78019856105447e+002°)
4.38998410254865e+006	(2.61906404536059e-001dB,1.77875160599288e+002°)
4.70506846206785e+006	(2.61189645729138e-001dB,1.77720278717256e+002°)
5.04276751706077e+006	(2.60366434661782e-001dB,1.77554473056547e+002°)
5.40470440252577e+006	(2.59420989187127e-001dB,1.77376953468571e+002°)
5.79261875148019e+006	(2.58335195066125e-001dB,1.77186876370959e+002°)
6.20837505642659e+006	(2.57088263328513e-001dB,1.76983339706498e+002°)
6.65397163095028e+006	(2.55656338764834e-001dB,1.76765379381127e+002°)
7.13155021452184e+006	(2.54012052023365e-001dB,1.76531965239269e+002°)
7.64340626666952e+006	(2.52124007641241e-001dB,1.76281996860530e+002°)
8.19199999999999e+006	(2.49956199283721e-001dB,1.76014299188864e+002°)
8.77996820509731e+006	(2.47467342417888e-001dB,1.75727618011408e+002°)
9.41013692413570e+006	(2.44610113155193e-001dB,1.75420614756521e+002°)
1.00855350341215e+007	(2.41330283725234e-001dB,1.75091864532883e+002°)
1.08094088050515e+007	(2.37565733573114e-001dB,1.74739845793403e+002°)
1.15852375029604e+007	(2.33245334269854e-001dB,1.74362941121953e+002°)
1.24167501128532e+007	(2.28287679625403e-001dB,1.73959429783832e+002°)
1.33079432619006e+007	(2.22599651715196e-001dB,1.73527483802029e+002°)
1.42631004290437e+007	(2.16074802355942e-001dB,1.73065163797206e+002°)
1.52868125333390e+007	(2.08591531853362e-001dB,1.72570415302844e+002°)
1.63840000000000e+007	(2.00011046323177e-001dB,1.72041065747991e+002°)
1.75599364101946e+007	(1.90175075428317e-001dB,1.71474822342677e+002°)
1.88202738482714e+007	(1.78903332456627e-001dB,1.70869270040654e+002°)
2.01710700682431e+007	(1.65990713034325e-001dB,1.70221877688153e+002°)
2.16188176101031e+007	(1.51204193097307e-001dB,1.69529989458880e+002°)
2.31704750059208e+007	(1.34279474292847e-001dB,1.68790840888377e+002°)
2.48335002257063e+007	(1.14917334105631e-001dB,1.68001561215763e+002°)
2.66158865238011e+007	(9.27797321546244e-002dB,1.67159185960300e+002°)
2.85262008580874e+007	(6.74857017930527e-002dB,1.66260672661997e+002°)
3.05736250666781e+007	(3.86070908988213e-002dB,1.65302921657381e+002°)
3.27680000000000e+007	(5.66424352875438e-003dB,1.64282802697594e+002°)
3.51198728203892e+007	(-3.18782501391928e-002dB,1.63197188230589e+002°)
3.76405476965428e+007	(-7.46155711591910e-002dB,1.62042991924408e+002°)
4.03421401364862e+007	(-1.23206199958897e-001dB,1.60817228603567e+002°)
4.32376352202062e+007	(-1.78374797630458e-001dB,1.59517049645601e+002°)
4.63409500118415e+007	(-2.40913923167895e-001dB,1.58139831445242e+002°)
4.96670004514127e+007	(-3.11684397445361e-001dB,1.56683239271452e+002°)
5.32317730476022e+007	(-3.91613777307855e-001dB,1.55145312102475e+002°)
5.70524017161747e+007	(-4.81692530647523e-001dB,1.53524551314457e+002°)
6.11472501333562e+007	(-5.82967464519175e-001dB,1.51820012861521e+002°)
6.55359999999999e+007	(-6.96532010046301e-001dB,1.50031399321982e+002°)
7.02397456407785e+007	(-8.23513067722236e-001dB,1.48159147091217e+002°)
7.52810953930856e+007	(-9.65054297282203e-001dB,1.46204498603710e+002°)
8.06842802729724e+007	(-1.12229582358723e+000dB,1.44169583698765e+002°)
8.64752704404123e+007	(-1.29635111763873e+000dB,1.42057411295775e+002°)
9.26819000236831e+007	(-1.48828115057742e+000dB,1.39871917926266e+002°)
9.93340009028254e+007	(-1.69906750703389e+000dB,1.37617914224265e+002°)
1.00000000000000e+008	(-1.72041820210423e+000dB,1.37397198090712e+002°)
