vi	V(vbe)	I(Rb)	I(Rc)
2.199999999999997e+000	6.788369e-001	-1.521163e-005	4.773234e-003
2.209999999999997e+000	6.790189e-001	-1.530981e-005	4.802725e-003
2.219999999999997e+000	6.791999e-001	-1.540800e-005	4.832202e-003
2.229999999999996e+000	6.793798e-001	-1.550620e-005	4.861667e-003
2.239999999999996e+000	6.795586e-001	-1.560441e-005	4.891119e-003
2.249999999999996e+000	6.797364e-001	-1.570264e-005	4.920557e-003
2.259999999999996e+000	6.799133e-001	-1.580087e-005	4.949983e-003
2.269999999999996e+000	6.800891e-001	-1.589911e-005	4.979396e-003
2.279999999999995e+000	6.802639e-001	-1.599736e-005	5.008795e-003
2.289999999999995e+000	6.804378e-001	-1.609562e-005	5.038182e-003
2.299999999999995e+000	6.806107e-001	-1.619389e-005	5.067555e-003
2.309999999999995e+000	6.807826e-001	-1.629217e-005	5.096916e-003
2.319999999999995e+000	6.809536e-001	-1.639046e-005	5.126263e-003
2.329999999999994e+000	6.811237e-001	-1.648876e-005	5.155597e-003
2.339999999999994e+000	6.812928e-001	-1.658707e-005	5.184919e-003
2.349999999999994e+000	6.814610e-001	-1.668539e-005	5.214226e-003
2.359999999999994e+000	6.816284e-001	-1.678372e-005	5.243521e-003
2.369999999999993e+000	6.817948e-001	-1.688205e-005	5.272802e-003
2.379999999999993e+000	6.819604e-001	-1.698040e-005	5.302071e-003
2.389999999999993e+000	6.821251e-001	-1.707875e-005	5.331326e-003
2.399999999999993e+000	6.822889e-001	-1.717711e-005	5.360567e-003
2.409999999999993e+000	6.824519e-001	-1.727548e-005	5.389796e-003
2.419999999999992e+000	6.826141e-001	-1.737386e-005	5.419012e-003
2.429999999999992e+000	6.827754e-001	-1.747225e-005	5.448213e-003
2.439999999999992e+000	6.829359e-001	-1.757064e-005	5.477402e-003
2.449999999999992e+000	6.830955e-001	-1.766904e-005	5.506577e-003
2.459999999999992e+000	6.832544e-001	-1.776746e-005	5.535739e-003
2.469999999999991e+000	6.834125e-001	-1.786588e-005	5.564888e-003
2.479999999999991e+000	6.835698e-001	-1.796430e-005	5.594024e-003
2.489999999999991e+000	6.837263e-001	-1.806274e-005	5.623146e-003
