vin	V(vgs)	V(vo)	I(Rd)
1.998999999999978e+000	1.999000e+000	4.981479e+000	9.260347e-005
1.999999999999978e+000	2.000000e+000	4.981114e+000	9.442924e-005
2.000999999999978e+000	2.001000e+000	4.980742e+000	9.629057e-005
2.001999999999978e+000	2.002000e+000	4.980362e+000	9.818813e-005
2.002999999999978e+000	2.003000e+000	4.979976e+000	1.001226e-004
2.003999999999978e+000	2.004000e+000	4.979581e+000	1.020947e-004
2.004999999999978e+000	2.005000e+000	4.979179e+000	1.041052e-004
2.005999999999978e+000	2.006000e+000	4.978769e+000	1.061548e-004
2.006999999999978e+000	2.007000e+000	4.978351e+000	1.082441e-004
2.007999999999977e+000	2.008000e+000	4.977925e+000	1.103741e-004
2.008999999999977e+000	2.009000e+000	4.977491e+000	1.125454e-004
2.009999999999977e+000	2.010000e+000	4.977048e+000	1.147588e-004
2.010999999999977e+000	2.011000e+000	4.976597e+000	1.170152e-004
2.011999999999977e+000	2.012000e+000	4.976137e+000	1.193154e-004
2.012999999999977e+000	2.013000e+000	4.975668e+000	1.216602e-004
2.013999999999977e+000	2.014000e+000	4.975190e+000	1.240503e-004
2.014999999999977e+000	2.015000e+000	4.974703e+000	1.264868e-004
2.015999999999977e+000	2.016000e+000	4.974206e+000	1.289705e-004
2.016999999999976e+000	2.017000e+000	4.973700e+000	1.315022e-004
2.017999999999976e+000	2.018000e+000	4.973184e+000	1.340829e-004
2.018999999999976e+000	2.019000e+000	4.972657e+000	1.367135e-004
2.019999999999976e+000	2.020000e+000	4.972121e+000	1.393950e-004
2.020999999999976e+000	2.021000e+000	4.971574e+000	1.421283e-004
2.021999999999976e+000	2.022000e+000	4.971017e+000	1.449143e-004
2.022999999999976e+000	2.023000e+000	4.970449e+000	1.477542e-004
2.023999999999976e+000	2.024000e+000	4.969870e+000	1.506488e-004
2.024999999999976e+000	2.025000e+000	4.969280e+000	1.535993e-004
2.025999999999975e+000	2.026000e+000	4.968678e+000	1.566066e-004
2.026999999999975e+000	2.027000e+000	4.968066e+000	1.596720e-004
2.027999999999975e+000	2.028000e+000	4.967441e+000	1.627963e-004
2.028999999999975e+000	2.029000e+000	4.966804e+000	1.659808e-004
2.029999999999975e+000	2.030000e+000	4.966155e+000	1.692266e-004
2.030999999999975e+000	2.031000e+000	4.965493e+000	1.725348e-004
2.031999999999975e+000	2.032000e+000	4.964818e+000	1.759067e-004
2.032999999999975e+000	2.033000e+000	4.964131e+000	1.793433e-004
2.033999999999975e+000	2.034000e+000	4.963431e+000	1.828459e-004
2.034999999999974e+000	2.035000e+000	4.962717e+000	1.864157e-004
2.035999999999974e+000	2.036000e+000	4.961989e+000	1.900541e-004
2.036999999999974e+000	2.037000e+000	4.961247e+000	1.937622e-004
2.037999999999974e+000	2.038000e+000	4.960492e+000	1.975415e-004
2.038999999999974e+000	2.039000e+000	4.959722e+000	2.013931e-004
2.039999999999974e+000	2.040000e+000	4.958936e+000	2.053185e-004
2.040999999999974e+000	2.041000e+000	4.958136e+000	2.093190e-004
2.041999999999974e+000	2.042000e+000	4.957321e+000	2.133961e-004
2.042999999999974e+000	2.043000e+000	4.956490e+000	2.175510e-004
2.043999999999973e+000	2.044000e+000	4.955643e+000	2.217854e-004
2.044999999999973e+000	2.045000e+000	4.954780e+000	2.261007e-004
2.045999999999973e+000	2.046000e+000	4.953900e+000	2.304983e-004
2.046999999999973e+000	2.047000e+000	4.953004e+000	2.349799e-004
2.047999999999973e+000	2.048000e+000	4.952091e+000	2.395469e-004
2.048999999999973e+000	2.049000e+000	4.951160e+000	2.442009e-004
2.049999999999973e+000	2.050000e+000	4.950211e+000	2.489436e-004
2.050999999999973e+000	2.051000e+000	4.949244e+000	2.537766e-004
2.051999999999973e+000	2.052000e+000	4.948260e+000	2.587015e-004
2.052999999999972e+000	2.053000e+000	4.947256e+000	2.637201e-004
2.053999999999972e+000	2.054000e+000	4.946233e+000	2.688340e-004
2.054999999999972e+000	2.055000e+000	4.945191e+000	2.740450e-004
2.055999999999972e+000	2.056000e+000	4.944129e+000	2.793550e-004
2.056999999999972e+000	2.057000e+000	4.943047e+000	2.847656e-004
2.057999999999972e+000	2.058000e+000	4.941944e+000	2.902789e-004
2.058999999999972e+000	2.059000e+000	4.940821e+000	2.958966e-004
2.059999999999972e+000	2.060000e+000	4.939676e+000	3.016207e-004
2.060999999999972e+000	2.061000e+000	4.938509e+000	3.074531e-004
2.061999999999971e+000	2.062000e+000	4.937321e+000	3.133958e-004
2.062999999999971e+000	2.063000e+000	4.936110e+000	3.194508e-004
2.063999999999971e+000	2.064000e+000	4.934876e+000	3.256202e-004
2.064999999999971e+000	2.065000e+000	4.933619e+000	3.319060e-004
2.065999999999971e+000	2.066000e+000	4.932338e+000	3.383104e-004
2.066999999999971e+000	2.067000e+000	4.931033e+000	3.448356e-004
2.067999999999971e+000	2.068000e+000	4.929703e+000	3.514836e-004
2.068999999999971e+000	2.069000e+000	4.928349e+000	3.582568e-004
2.069999999999971e+000	2.070000e+000	4.926969e+000	3.651574e-004
2.070999999999970e+000	2.071000e+000	4.925562e+000	3.721878e-004
2.071999999999970e+000	2.072000e+000	4.924130e+000	3.793502e-004
2.072999999999970e+000	2.073000e+000	4.922670e+000	3.866472e-004
2.073999999999970e+000	2.074000e+000	4.921184e+000	3.940810e-004
2.074999999999970e+000	2.075000e+000	4.919669e+000	4.016542e-004
2.075999999999970e+000	2.076000e+000	4.918126e+000	4.093693e-004
2.076999999999970e+000	2.077000e+000	4.916554e+000	4.172288e-004
2.077999999999970e+000	2.078000e+000	4.914953e+000	4.252353e-004
2.078999999999970e+000	2.079000e+000	4.913321e+000	4.333916e-004
2.079999999999969e+000	2.080000e+000	4.911660e+000	4.417002e-004
2.080999999999969e+000	2.081000e+000	4.909967e+000	4.501639e-004
2.081999999999969e+000	2.082000e+000	4.908243e+000	4.587854e-004
2.082999999999969e+000	2.083000e+000	4.906487e+000	4.675677e-004
2.083999999999969e+000	2.084000e+000	4.904697e+000	4.765136e-004
2.084999999999969e+000	2.085000e+000	4.902875e+000	4.856259e-004
2.085999999999969e+000	2.086000e+000	4.901019e+000	4.949077e-004
2.086999999999969e+000	2.087000e+000	4.899127e+000	5.043619e-004
2.087999999999969e+000	2.088000e+000	4.897202e+000	5.139917e-004
2.088999999999968e+000	2.089000e+000	4.895240e+000	5.238001e-004
2.089999999999968e+000	2.090000e+000	4.893242e+000	5.337904e-004
2.090999999999968e+000	2.091000e+000	4.891207e+000	5.439657e-004
2.091999999999968e+000	2.092000e+000	4.889134e+000	5.543294e-004
2.092999999999968e+000	2.093000e+000	4.887023e+000	5.648846e-004
2.093999999999968e+000	2.094000e+000	4.884873e+000	5.756349e-004
2.094999999999968e+000	2.095000e+000	4.882683e+000	5.865837e-004
2.095999999999968e+000	2.096000e+000	4.880453e+000	5.977345e-004
2.096999999999968e+000	2.097000e+000	4.878182e+000	6.090907e-004
2.097999999999967e+000	2.098000e+000	4.875869e+000	6.206560e-004
2.098999999999967e+000	2.099000e+000	4.873513e+000	6.324342e-004
2.099999999999967e+000	2.100000e+000	4.871114e+000	6.444288e-004
2.100999999999967e+000	2.101000e+000	4.868671e+000	6.566438e-004
2.101999999999967e+000	2.102000e+000	4.866183e+000	6.690828e-004
2.102999999999967e+000	2.103000e+000	4.863650e+000	6.817500e-004
2.103999999999967e+000	2.104000e+000	4.861070e+000	6.946491e-004
2.104999999999967e+000	2.105000e+000	4.858443e+000	7.077843e-004
2.105999999999967e+000	2.106000e+000	4.855768e+000	7.211596e-004
2.106999999999967e+000	2.107000e+000	4.853044e+000	7.347793e-004
2.107999999999966e+000	2.108000e+000	4.850270e+000	7.486474e-004
2.108999999999966e+000	2.109000e+000	4.847446e+000	7.627685e-004
2.109999999999966e+000	2.110000e+000	4.844571e+000	7.771467e-004
2.110999999999966e+000	2.111000e+000	4.841643e+000	7.917866e-004
2.111999999999966e+000	2.112000e+000	4.838662e+000	8.066926e-004
2.112999999999966e+000	2.113000e+000	4.835626e+000	8.218694e-004
2.113999999999966e+000	2.114000e+000	4.832536e+000	8.373215e-004
2.114999999999966e+000	2.115000e+000	4.829389e+000	8.530536e-004
2.115999999999966e+000	2.116000e+000	4.826186e+000	8.690707e-004
2.116999999999965e+000	2.117000e+000	4.822925e+000	8.853775e-004
2.117999999999965e+000	2.118000e+000	4.819604e+000	9.019789e-004
2.118999999999965e+000	2.119000e+000	4.816224e+000	9.188800e-004
2.119999999999965e+000	2.120000e+000	4.812783e+000	9.360860e-004
2.120999999999965e+000	2.121000e+000	4.809279e+000	9.536018e-004
2.121999999999965e+000	2.122000e+000	4.805713e+000	9.714329e-004
2.122999999999965e+000	2.123000e+000	4.802083e+000	9.895846e-004
2.123999999999965e+000	2.124000e+000	4.798388e+000	1.008062e-003
2.124999999999965e+000	2.125000e+000	4.794626e+000	1.026871e-003
2.125999999999964e+000	2.126000e+000	4.790797e+000	1.046017e-003
2.126999999999964e+000	2.127000e+000	4.786899e+000	1.065506e-003
2.127999999999964e+000	2.128000e+000	4.782931e+000	1.085343e-003
2.128999999999964e+000	2.129000e+000	4.778893e+000	1.105534e-003
2.129999999999964e+000	2.130000e+000	4.774783e+000	1.126086e-003
2.130999999999964e+000	2.131000e+000	4.770599e+000	1.147004e-003
2.131999999999964e+000	2.132000e+000	4.766341e+000	1.168294e-003
2.132999999999964e+000	2.133000e+000	4.762008e+000	1.189962e-003
2.133999999999964e+000	2.134000e+000	4.757597e+000	1.212016e-003
2.134999999999963e+000	2.135000e+000	4.753108e+000	1.234460e-003
2.135999999999963e+000	2.136000e+000	4.748539e+000	1.257302e-003
2.136999999999963e+000	2.137000e+000	4.743890e+000	1.280549e-003
2.137999999999963e+000	2.138000e+000	4.739159e+000	1.304206e-003
2.138999999999963e+000	2.139000e+000	4.734344e+000	1.328280e-003
2.139999999999963e+000	2.140000e+000	4.729444e+000	1.352779e-003
2.140999999999963e+000	2.141000e+000	4.724458e+000	1.377710e-003
2.141999999999963e+000	2.142000e+000	4.719384e+000	1.403079e-003
2.142999999999963e+000	2.143000e+000	4.714221e+000	1.428893e-003
