vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
1.500000000000001e+000	2.255000e+000	2.507680e-002	7.374616e-003
1.550000000000001e+000	2.255000e+000	2.636598e-002	7.618170e-003
1.600000000000001e+000	2.255000e+000	2.772962e-002	7.861352e-003
1.650000000000001e+000	2.255000e+000	2.918235e-002	8.104089e-003
1.700000000000001e+000	2.255000e+000	3.074429e-002	8.346278e-003
1.750000000000001e+000	2.255000e+000	3.244454e-002	8.587778e-003
1.800000000000001e+000	2.255000e+000	3.432797e-002	8.828361e-003
1.850000000000001e+000	2.255000e+000	3.647045e-002	9.067648e-003
1.900000000000001e+000	2.255000e+000	3.902069e-002	9.304897e-003
1.950000000000001e+000	2.255000e+000	4.235909e-002	9.538204e-003
2.000000000000001e+000	2.255000e+000	5.364382e-002	9.731781e-003
2.050000000000001e+000	2.255000e+000	1.036438e-001	9.731781e-003
2.100000000000001e+000	2.255000e+000	1.536438e-001	9.731781e-003
2.150000000000000e+000	2.255000e+000	2.036438e-001	9.731781e-003
2.200000000000000e+000	2.255000e+000	2.536438e-001	9.731781e-003
2.250000000000000e+000	2.255000e+000	3.036438e-001	9.731781e-003
2.300000000000000e+000	2.255000e+000	3.536438e-001	9.731781e-003
2.350000000000000e+000	2.255000e+000	4.036438e-001	9.731781e-003
2.400000000000000e+000	2.255000e+000	4.536438e-001	9.731781e-003
2.449999999999999e+000	2.255000e+000	5.036438e-001	9.731781e-003
2.499999999999999e+000	2.255000e+000	5.536438e-001	9.731781e-003
2.549999999999999e+000	2.255000e+000	6.036438e-001	9.731781e-003
2.599999999999999e+000	2.255000e+000	6.536438e-001	9.731781e-003
2.649999999999999e+000	2.255000e+000	7.036438e-001	9.731781e-003
2.699999999999998e+000	2.255000e+000	7.536438e-001	9.731781e-003
2.749999999999998e+000	2.255000e+000	8.036438e-001	9.731781e-003
2.799999999999998e+000	2.255000e+000	8.536438e-001	9.731781e-003
2.849999999999998e+000	2.255000e+000	9.036438e-001	9.731781e-003
2.899999999999998e+000	2.255000e+000	9.536438e-001	9.731781e-003
2.949999999999998e+000	2.255000e+000	1.003644e+000	9.731781e-003
2.999999999999997e+000	2.255000e+000	1.053644e+000	9.731781e-003
3.049999999999997e+000	2.255000e+000	1.103644e+000	9.731781e-003
3.099999999999997e+000	2.255000e+000	1.153644e+000	9.731781e-003
