#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:03:42.560
#Sample rate: 3.33333e+07Hz
#Samples: 4096

Time (s),Vin,Inv1,Inv2,Inv3
-6.612e-05,0,1,1,0
-6.609e-05,0,1,1,0
-6.606e-05,0,1,1,0
-6.603e-05,0,1,1,0
-6.600000000000001e-05,0,1,1,0
-6.597000000000001e-05,0,1,1,0
-6.594000000000001e-05,0,1,1,0
-6.591e-05,0,1,1,0
-6.588e-05,0,1,1,0
-6.585e-05,0,1,1,0
-6.582e-05,0,1,1,0
-6.579000000000001e-05,0,1,1,0
-6.576000000000001e-05,0,1,1,0
-6.573e-05,0,1,1,0
-6.57e-05,0,1,1,0
-6.567e-05,0,1,1,0
-6.564e-05,0,1,1,0
-6.561e-05,0,1,1,0
-6.558000000000001e-05,0,1,1,0
-6.555000000000001e-05,0,1,1,0
-6.552e-05,0,1,1,0
-6.549e-05,0,1,1,0
-6.546e-05,0,1,1,0
-6.543e-05,0,1,1,0
-6.54e-05,0,1,1,0
-6.537000000000001e-05,0,1,1,0
-6.534000000000001e-05,0,1,1,0
-6.531e-05,0,1,1,0
-6.528e-05,0,1,1,0
-6.525e-05,0,1,1,0
-6.522e-05,0,1,1,0
-6.519e-05,0,1,1,0
-6.516000000000001e-05,0,1,1,0
-6.513000000000001e-05,0,1,1,0
-6.51e-05,0,1,1,0
-6.507e-05,0,1,1,0
-6.504e-05,0,1,1,0
-6.501e-05,0,1,1,0
-6.498e-05,0,1,1,0
-6.495000000000001e-05,0,1,1,0
-6.492000000000001e-05,0,1,1,0
-6.489e-05,0,1,1,0
-6.486e-05,0,1,1,0
-6.483e-05,0,1,1,0
-6.48e-05,0,1,1,0
-6.477e-05,0,1,1,0
-6.474000000000001e-05,0,1,1,0
-6.471000000000001e-05,0,1,1,0
-6.468e-05,0,1,1,0
-6.465e-05,0,1,1,0
-6.462e-05,0,1,1,0
-6.459e-05,0,1,1,0
-6.456000000000001e-05,0,1,1,0
-6.453000000000001e-05,0,1,1,0
-6.45e-05,0,1,1,0
-6.447e-05,0,1,1,0
-6.444e-05,0,1,1,0
-6.441e-05,0,1,1,0
-6.438e-05,0,1,1,0
-6.435000000000001e-05,0,1,1,0
-6.432000000000001e-05,0,1,1,0
-6.429e-05,0,1,1,0
-6.426e-05,0,1,1,0
-6.423e-05,0,1,1,0
-6.42e-05,0,1,1,0
-6.417e-05,0,1,1,0
-6.414000000000001e-05,0,1,1,0
-6.411000000000001e-05,0,1,1,0
-6.408e-05,0,1,1,0
-6.405e-05,0,1,0,0
-6.402e-05,0,1,0,0
-6.399e-05,0,1,0,0
-6.396e-05,0,1,0,0
-6.393000000000001e-05,0,1,0,0
-6.390000000000001e-05,0,1,0,0
-6.387e-05,0,1,0,0
-6.384e-05,0,1,0,0
-6.381e-05,0,1,0,0
-6.378e-05,0,1,0,0
-6.375e-05,0,1,0,0
-6.372000000000001e-05,0,1,0,0
-6.369000000000001e-05,0,1,0,0
-6.366e-05,0,1,0,0
-6.363e-05,0,1,0,0
-6.36e-05,0,1,0,0
-6.357e-05,0,1,0,0
-6.354e-05,0,1,0,0
-6.351000000000001e-05,0,1,0,0
-6.348000000000001e-05,0,1,0,0
-6.345e-05,0,1,0,0
-6.342e-05,0,1,0,0
-6.339e-05,0,1,0,0
-6.336e-05,0,1,0,0
-6.333000000000001e-05,0,1,0,0
-6.330000000000001e-05,0,1,0,0
-6.327e-05,0,1,0,0
-6.324e-05,0,1,0,0
-6.321e-05,0,1,0,0
-6.318e-05,0,1,0,0
-6.315e-05,0,1,0,0
-6.312000000000001e-05,0,1,0,0
-6.309000000000001e-05,0,1,0,0
-6.306e-05,0,1,0,0
-6.303e-05,0,1,0,0
-6.3e-05,0,1,0,0
-6.297e-05,0,1,0,0
-6.294e-05,0,1,0,0
-6.291000000000001e-05,0,1,0,0
-6.288000000000001e-05,0,1,0,0
-6.285e-05,0,1,0,0
-6.282e-05,0,1,0,0
-6.279e-05,0,1,0,0
-6.276e-05,0,1,0,0
-6.273e-05,0,1,0,0
-6.270000000000001e-05,0,1,0,0
-6.267000000000001e-05,0,1,0,0
-6.264e-05,0,1,0,0
-6.261e-05,0,1,0,0
-6.258e-05,0,1,0,0
-6.255e-05,0,1,0,0
-6.252e-05,0,1,0,0
-6.249000000000001e-05,0,1,0,0
-6.246000000000001e-05,0,1,0,0
-6.243e-05,0,1,0,0
-6.24e-05,0,1,0,0
-6.237e-05,0,1,0,0
-6.234e-05,0,1,0,0
-6.231e-05,0,1,0,0
-6.228000000000001e-05,0,1,0,0
-6.225000000000001e-05,0,1,0,0
-6.222e-05,0,1,0,0
-6.219e-05,0,1,0,0
-6.216e-05,0,1,0,0
-6.213e-05,0,1,0,0
-6.210000000000001e-05,0,1,0,0
-6.207000000000001e-05,0,1,0,0
-6.204e-05,0,1,0,0
-6.201e-05,0,1,0,0
-6.198e-05,0,1,0,0
-6.195e-05,0,1,0,0
-6.192e-05,0,1,0,0
-6.189000000000001e-05,0,1,0,0
-6.186000000000001e-05,0,1,0,0
-6.183e-05,0,1,0,0
-6.18e-05,0,1,0,0
-6.177e-05,0,1,0,0
-6.174e-05,0,1,0,0
-6.171e-05,0,1,0,0
-6.168000000000001e-05,0,1,0,0
-6.165000000000001e-05,0,1,0,0
-6.162e-05,0,1,0,0
-6.159e-05,0,1,0,0
-6.156e-05,0,1,0,0
-6.153e-05,0,1,0,0
-6.15e-05,0,1,0,0
-6.147000000000001e-05,0,1,0,0
-6.144000000000001e-05,0,1,0,0
-6.141e-05,0,1,0,0
-6.138e-05,0,1,0,0
-6.135e-05,0,1,0,0
-6.132e-05,0,1,0,0
-6.129e-05,0,1,0,0
-6.126000000000001e-05,0,1,0,1
-6.123000000000001e-05,0,1,0,1
-6.12e-05,0,1,0,1
-6.117e-05,0,1,0,1
-6.114e-05,0,1,0,1
-6.111e-05,0,1,0,1
-6.108e-05,0,1,0,1
-6.105000000000001e-05,0,1,0,1
-6.102e-05,0,1,0,1
-6.099e-05,0,1,0,1
-6.096e-05,0,1,0,1
-6.093e-05,0,1,0,1
-6.09e-05,0,1,0,1
-6.087000000000001e-05,0,0,0,1
-6.084e-05,0,0,0,1
-6.081e-05,0,0,0,1
-6.078e-05,0,0,0,1
-6.075e-05,0,0,0,1
-6.072e-05,0,0,0,1
-6.069e-05,0,0,0,1
-6.066000000000001e-05,0,0,0,1
-6.063e-05,0,0,0,1
-6.06e-05,0,0,0,1
-6.057e-05,0,0,0,1
-6.054e-05,0,0,0,1
-6.051e-05,0,0,0,1
-6.048e-05,0,0,0,1
-6.045e-05,0,0,0,1
-6.042e-05,0,0,0,1
-6.039e-05,0,0,0,1
-6.036e-05,0,0,0,1
-6.033e-05,0,0,0,1
-6.03e-05,0,0,0,1
-6.027e-05,0,0,0,1
-6.024e-05,0,0,0,1
-6.021e-05,0,0,0,1
-6.018e-05,0,0,0,1
-6.015000000000001e-05,0,0,0,1
-6.012e-05,0,0,0,1
-6.009e-05,0,0,0,1
-6.006e-05,0,0,0,1
-6.003e-05,0,0,0,1
-6e-05,0,0,0,1
-5.997e-05,0,0,0,1
-5.994000000000001e-05,0,0,0,1
-5.991e-05,0,0,0,1
-5.988e-05,0,0,0,1
-5.985e-05,0,0,0,1
-5.982e-05,0,0,0,1
-5.979e-05,0,0,0,1
-5.976e-05,0,0,0,1
-5.973e-05,0,0,0,1
-5.97e-05,0,0,0,1
-5.967e-05,0,0,0,1
-5.964e-05,0,0,0,1
-5.961e-05,0,0,0,1
-5.958e-05,0,0,0,1
-5.955e-05,0,0,0,1
-5.952e-05,0,0,0,1
-5.949e-05,0,0,0,1
-5.946e-05,0,0,0,1
-5.943000000000001e-05,0,0,0,1
-5.94e-05,0,0,0,1
-5.937e-05,0,0,0,1
