v1	I(Dgreen)	I(Dred)	I(Dyellow)
2.129999999999999e+00	5.725590e-07	3.728674e-05	3.759296e-06
2.139999999999998e+00	6.226222e-07	4.119193e-05	4.123119e-06
2.149999999999998e+00	6.770602e-07	4.548770e-05	4.522004e-06
2.159999999999998e+00	7.362551e-07	5.020931e-05	4.959304e-06
2.169999999999998e+00	8.006218e-07	5.539439e-05	5.438680e-06
2.179999999999997e+00	8.706116e-07	6.108305e-05	5.964139e-06
2.189999999999997e+00	9.467152e-07	6.731778e-05	6.540059e-06
2.199999999999997e+00	1.029465e-06	7.414346e-05	7.171224e-06
2.209999999999997e+00	1.119442e-06	8.160723e-05	7.862862e-06
2.219999999999997e+00	1.217275e-06	8.975837e-05	8.620676e-06
2.229999999999996e+00	1.323648e-06	9.864814e-05	9.450892e-06
2.239999999999996e+00	1.439305e-06	1.083294e-04	1.036030e-05
2.249999999999996e+00	1.565055e-06	1.188566e-04	1.135631e-05
2.259999999999996e+00	1.701777e-06	1.302850e-04	1.244698e-05
2.269999999999996e+00	1.850423e-06	1.426706e-04	1.364108e-05
2.279999999999995e+00	2.012031e-06	1.560697e-04	1.494818e-05
2.289999999999995e+00	2.187729e-06	1.705380e-04	1.637865e-05
2.299999999999995e+00	2.378737e-06	1.861306e-04	1.794377e-05
2.309999999999995e+00	2.586387e-06	2.029010e-04	1.965578e-05
2.319999999999995e+00	2.812120e-06	2.209007e-04	2.152793e-05
2.329999999999994e+00	3.057505e-06	2.401788e-04	2.357458e-05
2.339999999999994e+00	3.324242e-06	2.607811e-04	2.581126e-05
2.349999999999994e+00	3.614179e-06	2.827499e-04	2.825473e-05
2.359999999999994e+00	3.929321e-06	3.061233e-04	3.092306e-05
2.369999999999993e+00	4.271844e-06	3.309351e-04	3.383572e-05
2.379999999999993e+00	4.644110e-06	3.572142e-04	3.701363e-05
2.389999999999993e+00	5.048679e-06	3.849846e-04	4.047922e-05
2.399999999999993e+00	5.488331e-06	4.142651e-04	4.425649e-05
2.409999999999993e+00	5.966078e-06	4.450690e-04	4.837110e-05
2.419999999999992e+00	6.485187e-06	4.774049e-04	5.285039e-05
2.429999999999992e+00	7.049198e-06	5.112758e-04	5.772339e-05
2.439999999999992e+00	7.661948e-06	5.466802e-04	6.302090e-05
2.449999999999992e+00	8.327591e-06	5.836118e-04	6.877543e-05
2.459999999999992e+00	9.050627e-06	6.220598e-04	7.502123e-05
2.469999999999991e+00	9.835928e-06	6.620095e-04	8.179426e-05
2.479999999999991e+00	1.068876e-05	7.034424e-04	8.913207e-05
2.489999999999991e+00	1.161483e-05	7.463370e-04	9.707380e-05
2.499999999999991e+00	1.262028e-05	7.906686e-04	1.056600e-04
2.509999999999990e+00	1.371179e-05	8.364102e-04	1.149325e-04
2.519999999999990e+00	1.489654e-05	8.835325e-04	1.249342e-04
2.529999999999990e+00	1.618228e-05	9.320047e-04	1.357090e-04
2.539999999999990e+00	1.757739e-05	9.817944e-04	1.473013e-04
2.549999999999990e+00	1.909087e-05	1.032868e-03	1.597561e-04
2.559999999999989e+00	2.073244e-05	1.085192e-03	1.731182e-04
2.569999999999989e+00	2.251255e-05	1.138731e-03	1.874325e-04
