v4	V(n010)	I(Dgreen1)
3.769999999999964e+000	3.222766e+000	5.472337e-003
3.779999999999963e+000	3.224544e+000	5.554556e-003
3.789999999999963e+000	3.226301e+000	5.636990e-003
3.799999999999963e+000	3.228036e+000	5.719636e-003
3.809999999999963e+000	3.229751e+000	5.802487e-003
3.819999999999963e+000	3.231446e+000	5.885541e-003
3.829999999999962e+000	3.233121e+000	5.968793e-003
3.839999999999962e+000	3.234776e+000	6.052239e-003
3.849999999999962e+000	3.236413e+000	6.135874e-003
3.859999999999962e+000	3.238030e+000	6.219695e-003
3.869999999999962e+000	3.239630e+000	6.303699e-003
3.879999999999961e+000	3.241212e+000	6.387881e-003
3.889999999999961e+000	3.242776e+000	6.472238e-003
3.899999999999961e+000	3.244323e+000	6.556766e-003
3.909999999999961e+000	3.245854e+000	6.641462e-003
3.919999999999960e+000	3.247368e+000	6.726324e-003
3.929999999999960e+000	3.248865e+000	6.811346e-003
3.939999999999960e+000	3.250347e+000	6.896527e-003
3.949999999999960e+000	3.251814e+000	6.981863e-003
3.959999999999960e+000	3.253265e+000	7.067352e-003
3.969999999999959e+000	3.254701e+000	7.152990e-003
3.979999999999959e+000	3.256123e+000	7.238775e-003
3.989999999999959e+000	3.257529e+000	7.324704e-003
3.999999999999959e+000	3.258923e+000	7.410775e-003
4.009999999999959e+000	3.260302e+000	7.496984e-003
4.019999999999959e+000	3.261667e+000	7.583329e-003
4.029999999999959e+000	3.263019e+000	7.669809e-003
4.039999999999958e+000	3.264358e+000	7.756419e-003
4.049999999999958e+000	3.265684e+000	7.843159e-003
4.059999999999958e+000	3.266997e+000	7.930025e-003
4.069999999999958e+000	3.268298e+000	8.017017e-003
4.079999999999957e+000	3.269587e+000	8.104131e-003
4.089999999999957e+000	3.270864e+000	8.191364e-003
4.099999999999957e+000	3.272128e+000	8.278716e-003
4.109999999999957e+000	3.273382e+000	8.366184e-003
4.119999999999957e+000	3.274623e+000	8.453767e-003
4.129999999999956e+000	3.275854e+000	8.541461e-003
4.139999999999956e+000	3.277073e+000	8.629266e-003
4.149999999999956e+000	3.278282e+000	8.717180e-003
4.159999999999956e+000	3.279480e+000	8.805200e-003
4.169999999999956e+000	3.280667e+000	8.893326e-003
4.179999999999955e+000	3.281844e+000	8.981555e-003
4.189999999999955e+000	3.283011e+000	9.069886e-003
4.199999999999955e+000	3.284168e+000	9.158316e-003
4.209999999999955e+000	3.285316e+000	9.246846e-003
4.219999999999955e+000	3.286453e+000	9.335472e-003
4.229999999999954e+000	3.287581e+000	9.424194e-003
4.239999999999954e+000	3.288699e+000	9.513008e-003
4.249999999999954e+000	3.289808e+000	9.601917e-003
4.259999999999954e+000	3.290908e+000	9.690916e-003
4.269999999999953e+000	3.292000e+000	9.780005e-003
4.279999999999953e+000	3.293082e+000	9.869182e-003
4.289999999999953e+000	3.294156e+000	9.958445e-003
4.299999999999953e+000	3.295221e+000	1.004779e-002
4.309999999999953e+000	3.296277e+000	1.013723e-002
4.319999999999952e+000	3.297325e+000	1.022675e-002
4.329999999999952e+000	3.298366e+000	1.031634e-002
4.339999999999952e+000	3.299398e+000	1.040602e-002
4.349999999999952e+000	3.300422e+000	1.049578e-002
4.359999999999952e+000	3.301438e+000	1.058562e-002
4.369999999999951e+000	3.302447e+000	1.067553e-002
4.379999999999951e+000	3.303447e+000	1.076553e-002
4.389999999999951e+000	3.304441e+000	1.085559e-002
4.399999999999951e+000	3.305427e+000	1.094573e-002
4.409999999999950e+000	3.306406e+000	1.103594e-002
4.419999999999950e+000	3.307377e+000	1.112623e-002
4.429999999999950e+000	3.308342e+000	1.121659e-002
4.439999999999950e+000	3.309299e+000	1.130701e-002
4.449999999999950e+000	3.310249e+000	1.139751e-002
4.459999999999949e+000	3.311193e+000	1.148807e-002
4.469999999999949e+000	3.312130e+000	1.157870e-002
4.479999999999949e+000	3.313061e+000	1.166940e-002
4.489999999999949e+000	3.313984e+000	1.176016e-002
4.499999999999949e+000	3.314902e+000	1.185098e-002
4.509999999999948e+000	3.315813e+000	1.194187e-002
4.519999999999948e+000	3.316717e+000	1.203283e-002
4.529999999999948e+000	3.317616e+000	1.212384e-002
4.539999999999948e+000	3.318508e+000	1.221492e-002
4.549999999999947e+000	3.319395e+000	1.230605e-002
4.559999999999947e+000	3.320275e+000	1.239725e-002
4.569999999999947e+000	3.321149e+000	1.248851e-002
4.579999999999947e+000	3.322018e+000	1.257982e-002
4.589999999999947e+000	3.322881e+000	1.267119e-002
4.599999999999946e+000	3.323738e+000	1.276262e-002
4.609999999999946e+000	3.324590e+000	1.285410e-002
4.619999999999946e+000	3.325436e+000	1.294564e-002
4.629999999999946e+000	3.326277e+000	1.303723e-002
4.639999999999946e+000	3.327112e+000	1.312888e-002
4.649999999999945e+000	3.327942e+000	1.322058e-002
4.659999999999945e+000	3.328767e+000	1.331233e-002
4.669999999999945e+000	3.329586e+000	1.340414e-002
4.679999999999945e+000	3.330400e+000	1.349600e-002
4.689999999999944e+000	3.331210e+000	1.358790e-002
4.699999999999944e+000	3.332014e+000	1.367986e-002
4.709999999999944e+000	3.332813e+000	1.377187e-002
4.719999999999944e+000	3.333607e+000	1.386392e-002
4.729999999999944e+000	3.334397e+000	1.395603e-002
4.739999999999943e+000	3.335182e+000	1.404818e-002
4.749999999999943e+000	3.335962e+000	1.414038e-002
4.759999999999943e+000	3.336737e+000	1.423263e-002
4.769999999999943e+000	3.337508e+000	1.432492e-002
4.779999999999943e+000	3.338274e+000	1.441726e-002
4.789999999999942e+000	3.339036e+000	1.450964e-002
4.799999999999942e+000	3.339793e+000	1.460207e-002
4.809999999999942e+000	3.340545e+000	1.469455e-002
4.819999999999942e+000	3.341294e+000	1.478706e-002
4.829999999999942e+000	3.342038e+000	1.487962e-002
4.839999999999941e+000	3.342778e+000	1.497222e-002
