v3	I(Dyellow1)
4.359999999999951e+00	1.347626e-02
4.369999999999951e+00	1.356888e-02
4.379999999999951e+00	1.366154e-02
4.389999999999951e+00	1.375424e-02
4.399999999999951e+00	1.384699e-02
4.409999999999950e+00	1.393979e-02
4.419999999999950e+00	1.403263e-02
4.429999999999950e+00	1.412551e-02
4.439999999999950e+00	1.421844e-02
4.449999999999950e+00	1.431141e-02
4.459999999999949e+00	1.440443e-02
4.469999999999949e+00	1.449748e-02
4.479999999999949e+00	1.459058e-02
4.489999999999949e+00	1.468371e-02
4.499999999999948e+00	1.477689e-02
4.509999999999948e+00	1.487011e-02
4.519999999999948e+00	1.496337e-02
4.529999999999948e+00	1.505666e-02
4.539999999999948e+00	1.515000e-02
4.549999999999947e+00	1.524337e-02
4.559999999999947e+00	1.533678e-02
4.569999999999947e+00	1.543023e-02
4.579999999999947e+00	1.552371e-02
4.589999999999947e+00	1.561723e-02
4.599999999999946e+00	1.571079e-02
4.609999999999946e+00	1.580439e-02
4.619999999999946e+00	1.589802e-02
4.629999999999946e+00	1.599168e-02
4.639999999999946e+00	1.608538e-02
4.649999999999945e+00	1.617911e-02
4.659999999999945e+00	1.627288e-02
4.669999999999945e+00	1.636668e-02
4.679999999999945e+00	1.646051e-02
4.689999999999944e+00	1.655438e-02
4.699999999999944e+00	1.664828e-02
4.709999999999944e+00	1.674221e-02
4.719999999999944e+00	1.683618e-02
4.729999999999944e+00	1.693017e-02
4.739999999999943e+00	1.702420e-02
4.749999999999943e+00	1.711825e-02
4.759999999999943e+00	1.721234e-02
4.769999999999943e+00	1.730646e-02
4.779999999999943e+00	1.740061e-02
4.789999999999942e+00	1.749479e-02
4.799999999999942e+00	1.758900e-02
4.809999999999942e+00	1.768323e-02
4.819999999999942e+00	1.777750e-02
4.829999999999941e+00	1.787179e-02
4.839999999999941e+00	1.796611e-02
4.849999999999941e+00	1.806046e-02
4.859999999999941e+00	1.815484e-02
4.869999999999941e+00	1.824925e-02
4.879999999999940e+00	1.834368e-02
4.889999999999940e+00	1.843814e-02
4.899999999999940e+00	1.853263e-02
4.909999999999940e+00	1.862714e-02
4.919999999999940e+00	1.872168e-02
4.929999999999939e+00	1.881625e-02
4.939999999999939e+00	1.891084e-02
4.949999999999939e+00	1.900546e-02
4.959999999999939e+00	1.910010e-02
4.969999999999938e+00	1.919477e-02
4.979999999999938e+00	1.928946e-02
4.989999999999938e+00	1.938418e-02
5.000000000000000e+00	1.947892e-02
