Freq.	V(vo)	V(n004)
1.07391523706528e+004	(-1.64826202889886e+001dB,-1.79808011583010e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.07887220457634e+004	(-1.64826556446701e+001dB,-1.80637506590428e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.08385205240986e+004	(-1.64826913272040e+001dB,-1.81470823963362e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.08885488617659e+004	(-1.64827273396091e+001dB,-1.82307981255993e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.09388081197479e+004	(-1.64827636849322e+001dB,-1.83148996102290e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.09892993639242e+004	(-1.64828003662483e+001dB,-1.83993886216362e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.10400236650946e+004	(-1.64828373866606e+001dB,-1.84842669392815e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.10909820990012e+004	(-1.64828747493008e+001dB,-1.85695363507099e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.11421757463516e+004	(-1.64829124573296e+001dB,-1.86551986515869e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.11936056928418e+004	(-1.64829505139369e+001dB,-1.87412556457340e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.12452730291790e+004	(-1.64829889223420e+001dB,-1.88277091451643e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.12971788511050e+004	(-1.64830276857937e+001dB,-1.89145609701186e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.13493242594192e+004	(-1.64830668075709e+001dB,-1.90018129491018e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.14017103600022e+004	(-1.64831062909826e+001dB,-1.90894669189184e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.14543382638390e+004	(-1.64831461393685e+001dB,-1.91775247247098e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.15072090870427e+004	(-1.64831863560989e+001dB,-1.92659882199898e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.15603239508781e+004	(-1.64832269445751e+001dB,-1.93548592666823e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.16136839817857e+004	(-1.64832679082301e+001dB,-1.94441397351572e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.16672903114051e+004	(-1.64833092505281e+001dB,-1.95338315042678e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.17211440765997e+004	(-1.64833509749654e+001dB,-1.96239364613880e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.17752464194802e+004	(-1.64833930850707e+001dB,-1.97144565024489e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.18295984874289e+004	(-1.64834355844049e+001dB,-1.98053935319769e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.18842014331245e+004	(-1.64834784765620e+001dB,-1.98967494631307e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.19390564145660e+004	(-1.64835217651688e+001dB,-1.99885262177394e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.19941645950976e+004	(-1.64835654538857e+001dB,-2.00807257263397e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.20495271434331e+004	(-1.64836095464070e+001dB,-2.01733499282144e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.21051452336810e+004	(-1.64836540464606e+001dB,-2.02664007714300e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.21610200453692e+004	(-1.64836989578092e+001dB,-2.03598802128756e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.22171527634700e+004	(-1.64837442842498e+001dB,-2.04537902183003e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.22735445784253e+004	(-1.64837900296145e+001dB,-2.05481327623526e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.23301966861718e+004	(-1.64838361977708e+001dB,-2.06429098286188e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.23871102881666e+004	(-1.64838827926216e+001dB,-2.07381234096614e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.24442865914121e+004	(-1.64839298181061e+001dB,-2.08337755070585e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.25017268084823e+004	(-1.64839772781994e+001dB,-2.09298681314431e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.25594321575480e+004	(-1.64840251769134e+001dB,-2.10264033025414e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.26174038624030e+004	(-1.64840735182969e+001dB,-2.11233830492133e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.26756431524897e+004	(-1.64841223064360e+001dB,-2.12208094094912e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
1.27341512629254e+004	(-1.64841715454544e+001dB,-2.13186844306200e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
