vi	V(vd1)	V(vo)	I(Red)
-6.890000000000066e+000	-3.079114e-008	-1.347753e+001	-1.348753e-011
-6.880000000000067e+000	-3.078645e-008	-1.347753e+001	-1.348753e-011
-6.870000000000067e+000	-3.078176e-008	-1.347752e+001	-1.348753e-011
-6.860000000000067e+000	-3.077707e-008	-1.347752e+001	-1.348752e-011
-6.850000000000067e+000	-3.077237e-008	-1.347752e+001	-1.348752e-011
-6.840000000000067e+000	-3.076768e-008	-1.347752e+001	-1.348752e-011
-6.830000000000068e+000	-3.076299e-008	-1.347752e+001	-1.348752e-011
-6.820000000000068e+000	-3.075830e-008	-1.347752e+001	-1.348752e-011
-6.810000000000068e+000	-3.075361e-008	-1.347752e+001	-1.348752e-011
-6.800000000000068e+000	-3.074892e-008	-1.347752e+001	-1.348752e-011
-6.790000000000068e+000	-3.074423e-008	-1.347752e+001	-1.348751e-011
-6.780000000000069e+000	-3.073954e-008	-1.347751e+001	-1.348751e-011
-6.770000000000069e+000	-3.073485e-008	-1.347751e+001	-1.348751e-011
-6.760000000000069e+000	-3.073016e-008	-1.347751e+001	-1.348751e-011
-6.750000000000069e+000	-3.072547e-008	-1.347751e+001	-1.348751e-011
-6.740000000000070e+000	-3.072078e-008	-1.347751e+001	-1.348751e-011
-6.730000000000070e+000	-3.071608e-008	-1.347751e+001	-1.348751e-011
-6.720000000000070e+000	-3.071139e-008	-1.347751e+001	-1.348751e-011
-6.710000000000070e+000	-3.070670e-008	-1.347751e+001	-1.348751e-011
-6.700000000000070e+000	-3.070201e-008	-1.347750e+001	-1.348750e-011
-6.690000000000071e+000	-3.069732e-008	-1.347750e+001	-1.348750e-011
-6.680000000000071e+000	-3.069263e-008	-1.347750e+001	-1.348750e-011
-6.670000000000071e+000	-3.068794e-008	-1.347750e+001	-1.348750e-011
-6.660000000000071e+000	-3.068325e-008	-1.347750e+001	-1.348750e-011
-6.650000000000071e+000	-3.067856e-008	-1.347750e+001	-1.348750e-011
