Freq.	V(vo)
1.74972583514181e+004	(4.58160678221213e+001dB,-9.01062261289997e+001°)
1.75780220264152e+004	(4.57760675547392e+001dB,-9.01071732930792e+001°)
1.76591584895981e+004	(4.57360672843333e+001dB,-9.01081227299862e+001°)
1.77406694616791e+004	(4.56960670108808e+001dB,-9.01090744598551e+001°)
1.78225566713125e+004	(4.56560667343585e+001dB,-9.01100285028689e+001°)
1.79048218551321e+004	(4.56160664547428e+001dB,-9.01109848792595e+001°)
1.79874667577874e+004	(4.55760661720101e+001dB,-9.01119436093085e+001°)
1.80704931319810e+004	(4.55360658861363e+001dB,-9.01129047133472e+001°)
1.81539027385054e+004	(4.54960655970973e+001dB,-9.01138682117575e+001°)
1.82376973462807e+004	(4.54560653048685e+001dB,-9.01148341249717e+001°)
1.83218787323920e+004	(4.54160650094251e+001dB,-9.01158024734736e+001°)
1.84064486821269e+004	(4.53760647107421e+001dB,-9.01167732777985e+001°)
1.84914089890136e+004	(4.53360644087940e+001dB,-9.01177465585337e+001°)
1.85767614548589e+004	(4.52960641035554e+001dB,-9.01187223363193e+001°)
1.86625078897863e+004	(4.52560637950003e+001dB,-9.01197006318480e+001°)
1.87486501122745e+004	(4.52160634831025e+001dB,-9.01206814658660e+001°)
1.88351899491958e+004	(4.51760631678356e+001dB,-9.01216648591734e+001°)
1.89221292358550e+004	(4.51360628491729e+001dB,-9.01226508326245e+001°)
1.90094698160284e+004	(4.50960625270872e+001dB,-9.01236394071283e+001°)
1.90972135420026e+004	(4.50560622015513e+001dB,-9.01246306036489e+001°)
1.91853622746143e+004	(4.50160618725376e+001dB,-9.01256244432061e+001°)
1.92739178832889e+004	(4.49760615400182e+001dB,-9.01266209468758e+001°)
1.93628822460812e+004	(4.49360612039648e+001dB,-9.01276201357900e+001°)
1.94522572497144e+004	(4.48960608643489e+001dB,-9.01286220311381e+001°)
1.95420447896204e+004	(4.48560605211418e+001dB,-9.01296266541665e+001°)
1.96322467699803e+004	(4.48160601743143e+001dB,-9.01306340261798e+001°)
1.97228651037643e+004	(4.47760598238370e+001dB,-9.01316441685406e+001°)
1.98139017127723e+004	(4.47360594696801e+001dB,-9.01326571026703e+001°)
1.99053585276752e+004	(4.46960591118137e+001dB,-9.01336728500495e+001°)
1.99972374880552e+004	(4.46560587502074e+001dB,-9.01346914322186e+001°)
2.00895405424474e+004	(4.46160583848304e+001dB,-9.01357128707778e+001°)
2.01822696483806e+004	(4.45760580156519e+001dB,-9.01367371873880e+001°)
2.02754267724196e+004	(4.45360576426404e+001dB,-9.01377644037713e+001°)
2.03690138902060e+004	(4.44960572657644e+001dB,-9.01387945417110e+001°)
2.04630329865009e+004	(4.44560568849918e+001dB,-9.01398276230525e+001°)
2.05574860552265e+004	(4.44160565002904e+001dB,-9.01408636697035e+001°)
2.06523750995084e+004	(4.43760561116276e+001dB,-9.01419027036347e+001°)
2.07477021317185e+004	(4.43360557189703e+001dB,-9.01429447468800e+001°)
2.08434691735172e+004	(4.42960553222853e+001dB,-9.01439898215371e+001°)
2.09396782558963e+004	(4.42560549215389e+001dB,-9.01450379497682e+001°)
2.10363314192226e+004	(4.42160545166970e+001dB,-9.01460891538000e+001°)
2.11334307132805e+004	(4.41760541077255e+001dB,-9.01471434559244e+001°)
2.12309781973160e+004	(4.41360536945896e+001dB,-9.01482008784991e+001°)
2.13289759400800e+004	(4.40960532772542e+001dB,-9.01492614439480e+001°)
2.14274260198724e+004	(4.40560528556839e+001dB,-9.01503251747613e+001°)
2.15263305245859e+004	(4.40160524298430e+001dB,-9.01513920934969e+001°)
2.16256915517508e+004	(4.39760519996953e+001dB,-9.01524622227796e+001°)
2.17255112085790e+004	(4.39360515652045e+001dB,-9.01535355853028e+001°)
2.18257916120087e+004	(4.38960511263335e+001dB,-9.01546122038282e+001°)
2.19265348887497e+004	(4.38560506830452e+001dB,-9.01556921011866e+001°)
2.20277431753281e+004	(4.38160502353019e+001dB,-9.01567753002783e+001°)
2.21294186181318e+004	(4.37760497830658e+001dB,-9.01578618240735e+001°)
2.22315633734559e+004	(4.37360493262983e+001dB,-9.01589516956130e+001°)
2.23341796075486e+004	(4.36960488649609e+001dB,-9.01600449380086e+001°)
2.24372694966570e+004	(4.36560483990143e+001dB,-9.01611415744434e+001°)
2.25408352270734e+004	(4.36160479284190e+001dB,-9.01622416281727e+001°)
2.26448789951815e+004	(4.35760474531352e+001dB,-9.01633451225240e+001°)
2.27494030075029e+004	(4.35360469731224e+001dB,-9.01644520808979e+001°)
2.28544094807442e+004	(4.34960464883400e+001dB,-9.01655625267684e+001°)
2.29599006418439e+004	(4.34560459987468e+001dB,-9.01666764836834e+001°)
2.30658787280194e+004	(4.34160455043013e+001dB,-9.01677939752652e+001°)
2.31723459868149e+004	(4.33760450049617e+001dB,-9.01689150252112e+001°)
2.32793046761484e+004	(4.33360445006854e+001dB,-9.01700396572940e+001°)
2.33867570643604e+004	(4.32960439914298e+001dB,-9.01711678953623e+001°)
2.34947054302612e+004	(4.32560434771516e+001dB,-9.01722997633412e+001°)
2.36031520631800e+004	(4.32160429578072e+001dB,-9.01734352852328e+001°)
2.37120992630127e+004	(4.31760424333525e+001dB,-9.01745744851166e+001°)
2.38215493402713e+004	(4.31360419037432e+001dB,-9.01757173871501e+001°)
2.39315046161324e+004	(4.30960413689342e+001dB,-9.01768640155693e+001°)
2.40419674224869e+004	(4.30560408288801e+001dB,-9.01780143946892e+001°)
2.41529401019891e+004	(4.30160402835353e+001dB,-9.01791685489041e+001°)
2.42644250081065e+004	(4.29760397328533e+001dB,-9.01803265026887e+001°)
2.43764245051698e+004	(4.29360391767875e+001dB,-9.01814882805980e+001°)
2.44889409684228e+004	(4.28960386152908e+001dB,-9.01826539072681e+001°)
2.46019767840731e+004	(4.28560380483154e+001dB,-9.01838234074167e+001°)
2.47155343493423e+004	(4.28160374758134e+001dB,-9.01849968058437e+001°)
2.48296160725173e+004	(4.27760368977361e+001dB,-9.01861741274316e+001°)
2.49442243730011e+004	(4.27360363140345e+001dB,-9.01873553971459e+001°)
2.50593616813641e+004	(4.26960357246590e+001dB,-9.01885406400361e+001°)
2.51750304393958e+004	(4.26560351295598e+001dB,-9.01897298812355e+001°)
2.52912331001562e+004	(4.26160345286862e+001dB,-9.01909231459627e+001°)
2.54079721280286e+004	(4.25760339219874e+001dB,-9.01921204595211e+001°)
2.55252499987709e+004	(4.25360333094119e+001dB,-9.01933218473003e+001°)
2.56430691995688e+004	(4.24960326909077e+001dB,-9.01945273347760e+001°)
2.57614322290884e+004	(4.24560320664224e+001dB,-9.01957369475109e+001°)
